13726230503,20000,30003
13826544101,20000,30003
13926435656,20000,30003
13926251106,20000,30003
18211575961,20000,30003
13560439658,20000,30003
15920133257,20000,30003
13719199419,20000,30003
13660577991,20000,30000
15013685858,20000,30000
15989002119,20000,30000
13560439658,20004,30000
13480253104,20004,30000
13602846565,20004,30000
13922314466,20004,30000
13502468823,20004,30000
18320173382,20004,30000
13925057413,20004,30000
13760778710,20004,30000
13726238888,20004,30000
13560436666,20000,30000
